,0
1434,4489
1435,4491
1436,4494
1437,4496
1438,4497
1439,4498
1440,4509
1441,4510
1442,4512
1443,4513
1444,4517
1445,4518
1446,4520
1447,4522
1448,4526
1449,4528
1450,4533
1451,4534
1452,4538
1453,4545
1454,4547
1455,4563
1456,4566
1457,4570
1458,4576
1459,4595
1460,4596
1461,4598
1462,4605
1463,4606
1464,4608
1465,4609
1466,4611
1467,4618
1468,4622
1469,4625
1470,4629
1471,4631
1472,4632
1473,4634
1474,4636
1475,4639
1476,4641
1477,4642
1478,4644
1479,4645
1480,4650
1481,4655
1482,4659
1483,4660
1484,4661
1485,4662
1486,4663
1487,4665
1488,4666
1489,4667
1490,4669
1491,4673
1492,4677
1493,4683
1494,4686
1495,4691
1496,4693
1497,4697
1498,4699
1499,4700
1500,4701
1501,4703
1502,4706
1503,4713
1504,4720
1505,4721
1506,4725
1507,4727
1508,4731
1509,4734
1510,4737
1511,4739
1512,4741
1513,4745
1514,4748
1515,4749
1516,4756
1517,4760
1518,4766
1519,4767
1520,4768
1521,4770
1522,4771
1523,4777
1524,4778
1525,4779
1526,4781
1527,4783
1528,4784
1529,4787
1530,4788
1531,4795
1532,4799
1533,4800
1534,4801
1535,4804
1536,4813
1537,4815
1538,4816
1539,4817
1540,4819
1541,4821
1542,4823
1543,4824
1544,4828
1545,4829
1546,4830
1547,4832
1548,4833
